,keras_cv,trial_index,arm_name,learning_rate,dropout_rate,num_hidden_layers,neurons_per_layer,batch_size,activation,optimizer,trial_status,generation_method
143,2.1962271213531492,48,48_0,0.006811509269237608,0.02038323590707369,4,195,64,relu,adam,COMPLETED,BO_MIXED
109,2.2005473256111143,197,197_0,0.008439180143875135,0.019914789289137987,4,196,64,relu,adam,COMPLETED,BO_MIXED
71,2.2057209491729735,162,162_0,0.00811691559615989,0.02002036739523265,4,200,64,relu,adam,COMPLETED,BO_MIXED
87,2.2178168177604674,177,177_0,0.007872453151709136,0.019749071091534193,4,200,64,relu,adam,COMPLETED,BO_MIXED
190,2.2295772790908814,91,91_0,0.007220935594930683,0.019460504894747016,4,197,64,relu,adam,COMPLETED,BO_MIXED
42,2.2401570081710815,136,136_0,0.0067499637294316074,0.019753401593169444,4,200,64,relu,adam,COMPLETED,BO_MIXED
198,2.242743527889252,99,99_0,0.008823445050952502,0.019668165008821285,4,196,64,relu,adam,COMPLETED,BO_MIXED
72,2.246061587333679,163,163_0,0.007268358138923902,0.019911704946717176,4,200,64,relu,adam,COMPLETED,BO_MIXED
13,2.2533057808876036,111,111_0,0.008381577420336891,0.019815802882218604,4,195,64,relu,adam,COMPLETED,BO_MIXED
39,2.260360133647919,133,133_0,0.0082749222468222,0.019562638817263715,4,193,64,relu,adam,COMPLETED,BO_MIXED
73,2.2753425240516663,164,164_0,0.00795868966980564,0.019727427916497,4,198,64,relu,adam,COMPLETED,BO_MIXED
69,2.3027532577514647,161,161_0,0.006891003632467698,0.019755264299006155,4,200,64,relu,adam,COMPLETED,BO_MIXED
32,2.3176483273506165,127,127_0,0.007697524602504933,0.019861773448818384,4,199,64,relu,adam,COMPLETED,BO_MIXED
105,2.3319944024085997,193,193_0,0.00808535869154735,0.019813834688801893,4,193,64,relu,adam,COMPLETED,BO_MIXED
159,2.340708327293396,63,63_0,0.007359798941414439,0.020091535421672215,4,193,64,relu,adam,COMPLETED,BO_MIXED
158,2.3413623332977296,62,62_0,0.0071780547398415115,0.02004023879380749,4,194,64,relu,adam,COMPLETED,BO_MIXED
